(26926888521460986652736984871435148374748748777366189, 41228)
(27357948636532400526580159655929841251612389366118049, 41888)
(27391910948628936165125379487435483720698615594322741, 41940)
(27553885052473952287417966376154701650186771451914349, 42188)
(27632259618850572991753089064244645809616524286232869, 42308)
(27663609445401221273487138139480623473388425419960277, 42356)
(27687121815314207484787674945907606721217351270255833, 42392)
(28238356265496439771944704518806880642539946204962757, 43236)
(28293218461960074264979290400469841554140773188985721, 43320)
(28298443433051848978601631913009171164769423377940289, 43328)
(28457805051350977744083048045458724288943254141054613, 43572)
(28815715571137545627213441654402802617005792084442521, 44120)
(29218038345204198576133738119931182635411856633944257, 44736)
(29225875801841860646567250388740177051354831917376109, 44748)
(29257225628392508928301299463976154715126733051103517, 44796)
(29270288056121945712357153245324478741698358523489937, 44816)
(29476674414247046900439642990627998361530040987195373, 45132)
(29986109095695081478617940463212635397823434410265753, 45912)
(30876966666842670151227168351168334010008291627019597, 47276)
(31080740539421883982498487340202188824525648996247749, 47588)
(31362888978377718518104929017325987798472759199794421, 48020)
(31409913718203690940706002630179954294130610900385533, 48092)
(31543150481043946138075711199932859365161190718727017, 48296)
(31668549787246539265011907500876770020248795253636649, 48488)
(31864486203188091025849714221101630418823177339432949, 48788)
(32232846665158208336224790855124367968143015660729993, 49352)
(32313833717080716397371084299483976932887093589525797, 49476)
(32353021000269026749538645643528949012601970006685057, 49536)
(32765793716519229125703625134135988252265334934095929, 50168)
(32956505161369006172919090341821519040211066830937661, 50460)
(32980017531281992384219627148248502288039992681233217, 50496)
(33152441577310557933756897062046379438785448916733961, 50760)
(33222978687049516567658507481327329182272226467620629, 50868)
(33353602964343884408217045294810569447988481191484829, 51068)
(33473777299454702821530900083215150492447435537439893, 51252)
(34027624235182822465499100412384089219084355566624101, 52100)
(34210498223394937442281053351260625591087112180033981, 52380)
(34218335680032599512714565620069620007030087463465833, 52392)
(34234010593307923653581590157687608838916038030329537, 52416)
(34286260304225670789805005283080904945202539919875217, 52496)
(34406434639336489203118860071485485989661494265830281, 52680)
(34537058916630857043677397884968726255377748989694481, 52880)
(34756507702485395015815741411620569901781056925786337, 53216)
(35033431170349454837799841576205039265099516940378441, 53640)
(35124868164455512326190818045643307451100895247083381, 53780)
(35150993019914385894302525608339955504244146191856221, 53820)
(35265942383933429593994038884205206938074450348856717, 53996)
(35712677412280167608704238206317888646824041504472281, 54680)
(35730964811101379106382433500205542284024317165813269, 54708)
(35791051978656788313039360894407832806253794338790801, 54800)
(35801501920840337740284043919486492027511094716699937, 54816)
(35840689204028648092451605263531464107225971133859197, 54876)
(35934738683680592937653752489239397098541674535041421, 55020)
(36245624463641188398183072485329508930946360777838217, 55496)
(36308324116742484961651170635801464258490163045293033, 55592)
(36402373596394429806853317861509397249805866446475257, 55736)
(36480748162771050511188440549599341409235619280793777, 55856)
(37045045040682719582401323903846939357129839687887121, 56720)
(37118194635967565573114105079397553905930942333251073, 56832)
(37227919028894834559183276842723475729132596301297001, 57000)
(37523129895580105878845572301195598729651331977230093, 57452)
(37588442034227289799124841207937218862509459339162193, 57552)
(37820953247811264555319038515937386535484392747640469, 57908)
(38306875559346312922196799182095040323948860320415293, 58652)
(38416599952273581908265970945420962147150514288461221, 58820)
(38544611744022062392013338002634537607552443917848137, 59016)
(38583799027210372744180899346679509687267320335007397, 59076)
(38753610587693050936906998504207722032698451476030857, 59336)
(38787572899789586575452218335713364501784677704235549, 59388)
(38926034633721616486444268418005599183443907711531601, 59600)
(38952159489180490054555975980702247236587158656304441, 59640)
(39270882725778747585518808245601353484934820182533089, 60128)
(39404119488619002782888516815354258555965400000874573, 60332)
(39406731974164890139699687571623923361279725095351857, 60336)
(39466819141720299346356614965826213883509202268329389, 60428)
(39984091279805995994968424707219845335745570974831621, 61220)
(40180027695747547755806231427444705734319953060627921, 61520)
(40409926423785635155189257979175208601980561374628913, 61872)
(40814861683398175460920725200973253425700951018607933, 62492)
(41363483648034520391266584017602862541709220858837573, 63332)
(41734456595550525058452831407895264896343384274611901, 63900)
(41739681566642299772075172920434594506972034463566469, 63908)
(41825893589656582546843807877333533082344762581316841, 64040)
(41857243416207230828577856952569510746116663715044249, 64088)
(42061017288786444659849175941603365560634021084272401, 64400)
(42110654514158304439261420310726996861606197879340797, 64476)
(42209928964902023998085909048974259463550551469477589, 64628)
(42228216363723235495764104342861913100750827130818577, 64656)
(42640989079973437871929083833468952340414192058229449, 65288)
(42839537981460876989578061309963477544302899238503033, 65592)
(42878725264649187341745622654008449624017775655662293, 65652)
(43205285957885106943141967187716550288308412465322793, 66152)
(43244473241073417295309528531761522368023288882482053, 66212)
(43542296593304575971782994746503310173856349652892429, 66668)
(43777420292434438084788362810773142652145608155847989, 67028)
(43811382604530973723333582642278785121231834384052681, 67080)
(43871469772086382929990510036481075643461311557030213, 67172)
(43887144685361707070857534574099064475347262123893917, 67196)
(44561165956200645128139589691672584246443136499033189, 68228)
(44892951620528339443158275737920014521362423497648257, 68736)
(44979163643542622217926910694818953096735151615398629, 68868)
(45026188383368594640527984307672919592393003315989741, 68940)
(45088888036469891203996082458144874919936805583444557, 69036)
