(11514537884341884459724538383694897276285166439253221, 16740)
(11654858417699455811563475410592971293272154130627633, 16944)
(11996029910568844980740498770109857138495418321420321, 17440)
(12637102151202455274436034598879489412181067970248517, 18372)
(12851710025749329106660291228253014379337637380585853, 18684)
(12920494600924609181091142712026580073939101935181153, 18784)
(13025047155191034894226036967362399929733328058166009, 18936)
(13058063751275169329952845679573711463142031044371753, 18984)
(13264417476801009553245400130894408546946424708157653, 19284)
(13272671625822043162177102308947236430298600454709089, 19296)
(13770671950091070901056467051467852059213203829979061, 20020)
(13809191312189227742737743882381048848190023980552429, 20076)
(13883478653378530223123063484856499798359605699515353, 20184)
(13924749398483698267781574375120639215120484432272533, 20244)
(13985279824637944733280723680841377026369773240316397, 20332)
(14048561633799202401757107045913057465403120630544073, 20424)
(14056815782820236010688809223965885348755296377095509, 20436)
(14439258020794793224524343473746910610739439300645377, 20992)
(14554816107089263749568173966486500977669899752365481, 21160)
(15088584410449437127151581480569370767777264696025009, 21936)
(15396739307234691860601796127874945079591825900611953, 22384)
(15493037712480083964804988205157937052033876277045373, 22524)
(15528805691571229603509030976720191213226637845434929, 22576)
(15677380373949834564279670181671093113565801283360777, 22792)
(15872728567447629975663288395588019686233960618411429, 23076)
(15916750695559809223299033345203101730778897933352421, 23140)
(16219402826331041550794779873806790787025341973571741, 23580)
(16244165273394142377589886407965274437081869213226049, 23616)
(16271679103464254407362227001474700714922455035064169, 23656)
(16590839532277553952721377886184045537873250568386361, 24120)
(16615601979340654779516484420342529187929777808040669, 24156)
(17251171453960242667257552130410276206047310292501241, 25080)
(17350221242212645974437978267044210806273419251118473, 25224)
(17385989221303791613142021038606464967466180819508029, 25276)
(17771182842285360029954789347738432857234382325241709, 25836)
(18104100186133715590200110529202490819105470769482961, 26320)
(18167381995294973258676493894274171258138818159710637, 26412)
(18492045190122295209990112897685401336657730857400453, 26884)
(18662630936556989794578624577443844259269362952796797, 27132)
(18723161362711236260077773883164582070518651760840661, 27220)
(18747923809774337086872880417323065720575179000494969, 27256)
(18954277535300177310165434868643762804379572664280869, 27556)
(19199150622924174375139266150877656677160786478640137, 27912)
(19380741901386913771636714068039870110908652902771729, 28176)
(19383493284393924974613948127390812738692711484955541, 28180)
(19488045838660350687748842382726632594486937607940397, 28332)
(19754929990340437376540546139768067489540620079770161, 28720)
(19862233927613874292652674454454829973118904784938829, 28876)
(20082344568174770530831399202530240195843591359643789, 29196)
(20274941378665554739237783357096224140727692112510629, 29476)
(20761936170906537666208211862213069258506061159045353, 30184)
(20918765002306176235910553245216799042197400343522637, 30412)
(20940776066362265859728425720024340064469869000993133, 30444)
(21298455857273722246768853435646881676397484684888693, 30964)
(22046832035180769456576517579103276433661419038885557, 32052)
(22074345865250881486348858172612702711502004860723677, 32092)
(22115616610356049531007369062876842128262883593480857, 32152)
(22616368317632088472863967864748400384961545550934641, 32880)
(22707163956863458171112691823329507101835478763000437, 33012)
(22726423637912536591953330238786105496323888838287121, 33040)
(22990556406585612077767799936476597763593512727933073, 33424)
(23106114492880082602811630429216188130523973179653177, 33592)
(23609617583163132747645463290438689015006693719290773, 34324)
